"","Bacteroides_thetaiotaomicron","Faecalibacterium_prausnitzii","Bacteroides_fragilis","Fusicatenibacter_saccharivorans","Dorea_longicatena","Intestinimonas_butyriciproducens","Anaerostipes_hadrus","Collinsella_aerofaciens","Blautia_obeum","_Clostridium__scindens","Alistipes_finegoldii","Dielma_fastidiosa","Eubacterium_ramulus","Clostridium_paraputrificum","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_animalis","Lactobacillus_acidophilus","Lactobacillus_gasseri"
"sub_9002000001189871LL",0,8.26202,0,8.97451,2.62208,0,6.24757,4.77883,1.20216,0,0.56348,0,0,0,0,0,0,0,0
"sub_9002000001190077LL",0.02312,10.2144,0,15.23835,2.01706,0,0.14666,22.18364,2.03451,0,0.07979,0,0,0,0,0,0,0,0
"sub_9002000001190424LL",0.01821,8.80453,0,6.06977,4.83083,0,2.51518,8.01609,1.9352,0,0.11702,0,0.33202,0,0,0,0,0,0.06107
"sub_9002000001191584LL",0.02515,7.00331,0.00648,2.93423,3.50715,0.00171,0.46927,3.13338,2.41792,0,0.59807,0,0.3668,0,0.47992,0,0,0,0
"sub_9002000001191860LL",0,9.14376,0,5.51347,1.14491,0,0.33234,13.19553,2.44435,0,0.00026,0,0.38952,0,0.76663,0,0,0,0
"sub_9002000001191969LL",0,31.29477,0,5.90821,0.42881,0,0.4157,19.55252,0.65942,0,0.58659,0,0.06818,0,0,0,0,0,0
"sub_9002000001193373LL",0.41121,9.84357,0.9431,1.75875,4.97022,0.04348,4.18946,5.6153,1.7377,0,1.73298,0,0.40872,0,0,0,0,0,0
"sub_9002000001193560LL",0,0.44969,0,0.00785,0.0016,0.35624,0,3.91219,0.01059,0,0.38678,0,0,0,0.10412,0,0.14243,0,0
"sub_9002000001193909LL",0.07596,5.2082,0,0.80282,4.23867,0,0.02803,1.3542,2.23976,0,0.01685,0,0,0,0,0,0,0,0
"sub_9002000001194325LL",0.0285,8.37692,0,10.65098,10.66671,0.00798,0.88579,8.52874,2.2158,0,1.01371,0,1.7798,0,0,0,0,0,0
"sub_9002000001195037LL",0.09839,9.29064,0,3.30478,2.8887,0,1.9994,4.29357,7.06854,0,0,0,0.10124,0,0,0,0,0,0
