Model,Accuracy,F1_Macro,F1_Weighted,Precision_Macro,Recall_Macro,ROC_AUC_Macro
RandomForest,0.8976279650436954,0.8867959936611156,0.896094852704908,0.8887399156243061,0.8867773152850931,0.9801440164999199
SVM,0.8514357053682896,0.8366395822728113,0.846928868036315,0.8362242825647255,0.8455343405864403,0.9662430422357768
LogisticRegression,0.8389513108614233,0.8227720095076545,0.8351172068280692,0.8216182695118596,0.833681412314045,0.952145633121513
XGBoost,0.9225967540574282,0.9130250730131113,0.9217905074176242,0.9165297480327953,0.9103436668065549,0.987223779511224
Ensemble,0.9238451935081149,0.9151866267902938,0.9232999254794261,0.9143918455211443,0.9162853092040876,0.9849814903899846
